Id_ANAS,Regione,Codice_Strada,Nome_Strada,Cup,Descrizione,Tipo_Lavoro,Impresa,Importo_Principale,Importo_Totale,Data_Consegna_Impresa,Avanzamento_Lavori,Data_Ultimazione_Prevista,Dal_Km,Al_Km,Strade_Segmentos,Coordinate,Nome_Ufficiale_Progetto,Anno_Decisione,Provincia_CUP,Municipi_Coinvolti,Tipologia,Settore,Sottosettore,Categoria_Settore,Cup_Padre,Progetti_Collegati_CUP
18568,Sicilia,A19,A19 PALERMO - CATANIA,F87H17000190001,Lavori di MS di risanamento strutturale del viadotto  Imera II posto tra i km 59+500 e 62+870 dell'Autostrada A/19 Palermo-Catania in entrambe le carreggiate..,Lavori di manutenzione programmata.,CONSORZIO STABILE INFRA.TECH S.C.A.R.L.,9878419.19,12722013.78,02-10-2025,"2,70",2028-03-19,59.500,62.870,A19 59.500–62.870,,,,,,,,,,,
16710,Sicilia,A19,A19 PALERMO - CATANIA,F27H16000340001,Lavori di risanamento strutturale del Viadotto Euno e delle rampe dello Svincolo di Enna al km 120+000.,Lavori di manutenzione programmata.,ATI CONS. STABILE MEDIL - CIMOLAI,16478921.74,19597140.0,15-04-2021,"83,14",2025-10-02,120.000,121.000,A19 120.000–121.000,,,,,,,,,,,
16712,Sicilia,A19,A19 PALERMO - CATANIA,F17H16000390001,"Lavori di risanamento strutturale e adeguamento della barriere di protezione della carreggiata PA - CT del Viadotto Cannatello, tra i km 84+700 e km 88+920 dell'Autostrada A19 Palermo-Catania.",Lavori di manutenzione programmata.,RTI COSTRUZIONI BRUNO TEODORO FINCANTIERI INFRASTRUTTURE,42438213.53,46453921.18,21-10-2025,"1,08",2028-11-11,84.700,88.920,A19 84.700–88.920,,,,,,,,,,,
37879,Sicilia,A19,A19 PALERMO - CATANIA,F37H20003910001,Lavori di manutenzione straordinaria delle strutture e adeguamennto degli impianti tecnologici alla vigente normativa per il miglioramento delle condizioni di sicurezza della galleria Tremonzelli.,Lavori di manutenzione programmata.,RTI DE SANCTIS - CONS. STAB. INFRA.,48009864.6,54981797.91,11-05-2023,"39,57",2026-10-13,70.280,72.082,A19 70.280–72.082,,,,,,,,,,,
59867,Sicilia,A19,A19 PALERMO - CATANIA,F67H20001820001,"Lavori di risanamento strutturale del viadotto Alfio, sito al km 157+600 dell'A19 ""Palermo-Catania"" nella carreggiata in direzione Catania.",Lavori di manutenzione programmata.,RTI VALORI CONS. STAB. - COSEDIL,20196133.72,23243054.62,09-07-2024,"79,71",2026-06-28,157.600,157.600,A19 157.600–157.600,,,,,,,,,,,
54006,Sicilia,A19,A19 PALERMO - CATANIA,F77H20003020001,Interventi di adeguamento al Dlgs 264/06 degli impianti e delle opere civili della galleria Fortolese canna direzione Catania.(NORD),Lavori di manutenzione programmata.,RTI CONS. STABILE AGORAA-COSEDIL,31893354.08,34364288.0,12-09-2024,"10,65",2026-10-11,104.132,105.758,A19 104.132–105.758,,,,,,,,,,,
54008,Sicilia,A19,A19 PALERMO - CATANIA,F77H20003050001,interventi di adeguamento al Dlgs 264/06 degli impianti e delle opere civili della galleria san nicola  canna direzione Catania (NORD),Lavori di manutenzione programmata.,RTI I.C.M. - STEELCONCRETE,21798090.61,24805122.26,27-11-2024,"11,95",2026-04-30,114.352,115.862,A19 114.352–115.862,,,,,,,,,,,
57107,Sicilia,A19,A19 PALERMO - CATANIA,F77H21010190001,"'Lavori di ripristino strutturale mediante interventi sulle travi, solette, sostituzione degli appoggi e ripristino corticale di pulvini e trasversi del viadotto Morello - STRALCIO 2",Lavori di manutenzione programmata.,RTI  F.D. - FCG - SIVIS - TECNOLAVO,14787030.67,24164559.96,23-05-2023,"95,17",2026-05-21,0.000,191.643,A19 0.000–191.643,,,,,,,,,,,
80127,Sicilia,A19,A19 PALERMO - CATANIA,F77H21007720001,"Lavori di completamento dell'ammodernamento della carreggiata in direzione Catania del viadotto Morello dell'Autostrada A19 ""Palermo - Catania"" - Stralcio 3",Lavori di manutenzione programmata.,RTI VALORI CONS. STAB. - COSEDIL,42378515.66,46074995.1,25-10-2024,"50,80",2027-05-31,0.000,191.643,A19 0.000–191.643,,,,,,,,,,,
86016,Sicilia,A19,A19 PALERMO - CATANIA,F77H21007740001,"lavori di ammodernamento della carreggiata in direzione Catania del Viadotto Cannatello, tra i km 84+720 e km 88+920 dell'autostrada A/19 ""Palermo - Catania"" - Stralcio 2",Lavori di manutenzione programmata.,RTI VALORI CONS. STAB. - COSEDIL,17538216.0,22070545.63,03-04-2025,"2,52",,84.720,88.920,A19 84.720–88.920,,,,,,,,,,,
92629,Sicilia,A19,A19 PALERMO - CATANIA,F77H23000940001,lavori di completamento dell'ammodernamento della carreggiata in direzione Catania  del Viadotto Morello  dell'Autostrada A/19 Palermo - Catania - 4 STRALCIO,Lavori di manutenzione programmata.,RTI VALORI CONS. STAB. - COSEDIL,39987988.58,41870172.09,05-06-2025,"25,13",2028-07-04,106.943,112.394,A19 106.943–112.394,,,,,,,,,,,
19899,Sicilia,A29dir,A29 DIR ALCAMO - TRAPANI,F97H19000100001,"Lavori di adeguamento delle strutture e degli impianti tecnologici ai sensi del D.L. n. 264 del 05/10/2006 della galleria Segesta sita lungo l'A/29 dir ""Alcamo - Trapani"" al km 7+040 - Carreggiata in direzione Alcamo (II Stralcio).",Lavori di manutenzione programmata.,RTI STEELCONCRETE - IDROGEO - CONS. STABILE AURORA,16750811.18,20146947.77,17-01-2022,"92,33",2025-10-22,7.040,7.040,A29dir 7.040–7.040,,,,,,,,,,,
30634,Sicilia,SS113,SS 113 SETTENTRIONALE SICULA,F71B16000520001,Collegamento SS 113 - SS 119: Variante di Alcamo - 1° lotto,Lavori per nuove costruzioni.,RTI FEGOTTO COSTRUZIONI-VIASTRADA,27512844.78,33977828.53,17-04-2024,"14,90",2028-04-16,125.000,125.000,SS113 125.000–125.000,,,,,,,,,,,
